Identyfikator publiczny,Nazwa,Rodzaj obiektu,Opis ogolny,Gmina,Powiat,Wojewodztwo,Szerokosc geograficzna,Dlugosc geograficzna,Adres,Dostepnosc
OZO-6D94271C9708,Miejsce ochronne,Obiekt ochrony ludności,,Otmuchów,pow. nyski,opolskie,50.412254848596,17.1544466939522,"53, Piotrowice Nyskie",Na żądanie
OZO-65149A51575F,Miejsce ochronne,Obiekt ochrony ludności,,Święciechowa,pow. leszczyński,wielkopolskie,51.8244289941268,16.4431772643901,"ul. Leszczyńska 4, Długie Stare",Na żądanie
OZO-6730709EDC2F,Miejsce ochronne,Obiekt ochrony ludności,,Żary,pow. żarski,lubuskie,51.62829037,15.12930728,"ul. Okrzei 49c, Żary",Na żądanie
OZO-57192FA21A0C,Miejsce ochronne,Obiekt ochrony ludności,,Lubsko,pow. żarski,lubuskie,51.7820884,14.98035,"ul. Norwida Cypriana 10, Lubsko",Na żądanie
OZO-2BAB420F2C64,Miejsce ochronne,Obiekt ochrony ludności,,Wrocław,Wrocław,dolnośląskie,51.0835104498097,16.9554032023071,"ul.Ibn Siny Awicenny 30, Wrocław",Na żądanie
OZO-B819E3A3FD3D,Miejsce ochronne,Obiekt ochrony ludności,,Nysa,pow. nyski,opolskie,50.47912108141113,17.322451472282413,"ul. Tadeusza Kościuszki 9, Nysa",Określone godziny
OZO-141316DE8895,Miejsce ochronne,Obiekt ochrony ludności,,Przewóz,pow. żarski,lubuskie,51.47830214,14.95069858,"ul. Wojska Polskiego 1, Przewóz",Na żądanie
OZO-796553747AFB,Miejsce ochronne,Obiekt ochrony ludności,,Wrocław,Wrocław,dolnośląskie,51.106701712516,16.9436740030246,"ul. Graniczna 2ab, Wrocław",Na żądanie
OZO-21B9FA796032,Miejsce ochronne,Obiekt ochrony ludności,,Wrocław,Wrocław,dolnośląskie,51.0782334091696,17.0817749663267,"ul. Opolska 49, Wrocław",Na żądanie
OZO-DDEEFCD0CA25,Miejsce ochronne,Obiekt ochrony ludności,,Nowa Sól,pow. nowosolski,lubuskie,51.79926713273975,15.714817196130754,"ul. Zamenhofa 1, Nowa Sól",Na żądanie
OZO-0874D4358602,Miejsce ochronne,Obiekt ochrony ludności,,Nysa,pow. nyski,opolskie,50.474959600808745,17.336892485618595,"ul. Wałowa 7, Nysa",Określone godziny
OZO-5EB82D642388,Miejsce ochronne,Obiekt ochrony ludności,,Żary,pow. żarski,lubuskie,51.6420866,15.1234358,"ul. Paderewskiego Ignacego 8, Żary",Na żądanie
OZO-3AA2835D7CF6,Miejsce ochronne,Obiekt ochrony ludności,,Lubomierz,pow. lwówecki,dolnośląskie,51.01234222465236,15.510781556367876,"ul. Adama Asnyka 1, Lubomierz",Na żądanie
OZO-56E42767B2CE,Miejsce ochronne,Obiekt ochrony ludności,,Góra,pow. górowski,dolnośląskie,51.74302279078999,16.52177453041077,"3NM, Witoszyce",Na żądanie
OZO-F9F3499FD0B7,Miejsce ochronne,Obiekt ochrony ludności,,Wrocław,Wrocław,dolnośląskie,51.06019419,17.07774848,"ul. Semaforowa 21, Wrocław",Na żądanie
OZO-5B9A780017BF,Miejsce ochronne,Obiekt ochrony ludności,,Kłodzko,pow. kłodzki,dolnośląskie,50.43270957799082,16.637831032276157,"ul. Letnia 24, Kłodzko",Na żądanie
OZO-C39D22846622,Miejsce ochronne,Obiekt ochrony ludności,,Jelenia Góra,Jelenia Góra,dolnośląskie,50.8915782138439,15.7310327772375,"ul. Jacka Malczewskiego 12, Jelenia Góra",Na żądanie
OZO-8B1CB7337FAC,Miejsce ochronne,Obiekt ochrony ludności,,Malczyce,pow. średzki,dolnośląskie,51.21661313,16.49021761,"ul. Dworcowa 4, Malczyce",Na żądanie
